,0,1,k,iter
0,669604.7718309859,862576.2957746478,0,4
1,609284.829059829,432905.73504273506,1,4
2,139395.22898550724,558143.9420289855,2,4
3,363825.1224489796,348683.3469387755,3,4
4,823421.2507836991,731145.2727272727,4,4
5,858871.9971509972,545579.1965811966,5,4
6,337264.7629179331,562123.3799392097,6,4
7,417377.16005873715,167864.06901615273,7,4
8,501256.40277777775,389354.81944444444,8,4
9,760660.7026378897,336889.690647482,9,4
10,850528.7507507508,159121.7027027027,10,4
11,608767.5116279069,581567.972868217,11,4
12,394992.6156716418,413077.98507462686,12,4
13,168105.06231454006,345703.56973293767,13,4
14,326800.24233128835,818471.6487730062,14,4
0,669604.7718309859,862576.2957746478,0,5
1,619736.647249191,404123.2524271845,1,5
2,139395.22898550724,558143.9420289855,2,5
3,363640.78571428574,353454.96428571426,3,5
4,823421.2507836991,731145.2727272727,4,5
5,858912.9571428571,545924.72,5,5
6,337264.7629179331,562123.3799392097,6,5
7,417106.495601173,167866.97653958944,7,5
8,510584.4186046512,383475.11627906974,8,5
9,797261.4325153375,322229.28834355826,9,5
10,852058.4525993884,157685.52293577982,10,5
11,606620.9383561644,575713.1952054794,11,5
12,398549.8602150538,412861.7347670251,12,5
13,167912.56547619047,346226.95238095237,13,5
14,326800.24233128835,818471.6487730062,14,5
0,669604.7718309859,862576.2957746478,0,6
1,622655.6900958467,400186.09584664536,1,6
2,139395.22898550724,558143.9420289855,2,6
3,363248.8103448276,354974.2586206897,3,6
4,823421.2507836991,731145.2727272727,4,6
5,858912.9571428571,545924.72,5,6
6,337264.7629179331,562123.3799392097,6,6
7,417106.495601173,167866.97653958944,7,6
8,518157.725,390456.85,8,6
9,801473.6825396825,320780.77777777775,9,6
10,852058.4525993884,157685.52293577982,10,6
11,606574.9562289562,574455.1683501684,11,6
12,399824.9893617021,412681.7695035461,12,6
13,167912.56547619047,346226.95238095237,13,6
14,326800.24233128835,818471.6487730062,14,6
0,669604.7718309859,862576.2957746478,0,7
1,623616.1645161291,399972.5096774194,1,7
2,139395.22898550724,558143.9420289855,2,7
3,364692.6034482759,357787.2586206897,3,7
4,823421.2507836991,731145.2727272727,4,7
5,858947.9713467049,546259.659025788,5,7
6,337264.7629179331,562123.3799392097,6,7
7,417106.495601173,167866.97653958944,7,7
8,529737.525,392710.5,8,7
9,801938.2952380952,321079.2571428571,9,7
10,852058.4525993884,157685.52293577982,10,7
11,606574.9562289562,574455.1683501684,11,7
12,400716.04912280705,412238.33684210526,12,7
13,168216.09198813056,345902.2818991098,13,7
14,326800.24233128835,818471.6487730062,14,7
0,669604.7718309859,862576.2957746478,0,8
1,625207.2112211221,399361.8580858086,1,8
2,139395.22898550724,558143.9420289855,2,8
3,365548.224137931,360738.5344827586,3,8
4,823421.2507836991,731145.2727272727,4,8
5,858947.9713467049,546259.659025788,5,8
6,337264.7629179331,562123.3799392097,6,8
7,417106.495601173,167866.97653958944,7,8
8,539981.2173913043,394851.847826087,8,8
9,802277.2261146497,321077.8503184713,9,8
10,852058.4525993884,157685.52293577982,10,8
11,606574.9562289562,574455.1683501684,11,8
12,401441.0104895105,412297.2727272727,12,8
13,168521.44082840238,345622.46153846156,13,8
14,326800.24233128835,818471.6487730062,14,8
0,669604.7718309859,862576.2957746478,0,9
1,627441.5719178083,399129.66095890413,1,9
2,139395.22898550724,558143.9420289855,2,9
3,365155.3,362213.61666666664,3,9
4,823421.2507836991,731145.2727272727,4,9
5,858947.9713467049,546259.659025788,5,9
6,337264.7629179331,562123.3799392097,6,9
7,417106.495601173,167866.97653958944,7,9
8,555729.6603773584,396694.43396226416,8,9
9,802534.0063897764,320892.93290734827,9,9
10,852058.4525993884,157685.52293577982,10,9
11,606574.9562289562,574455.1683501684,11,9
12,402895.5813148789,412059.3667820069,12,9
13,168521.44082840238,345622.46153846156,13,9
14,326800.24233128835,818471.6487730062,14,9
0,669604.7718309859,862576.2957746478,0,10
1,629557.78700361,398997.17689530685,1,10
2,139395.22898550724,558143.9420289855,2,10
3,364760.1612903226,363736.2419354839,3,10
4,823421.2507836991,731145.2727272727,4,10
5,858947.9713467049,546259.659025788,5,10
6,337264.7629179331,562123.3799392097,6,10
7,417106.495601173,167866.97653958944,7,10
8,564190.1940298508,397595.94029850746,8,10
9,802534.0063897764,320892.93290734827,9,10
10,852058.4525993884,157685.52293577982,10,10
11,606574.9562289562,574455.1683501684,11,10
12,403504.7638888889,412068.91319444444,12,10
13,168521.44082840238,345622.46153846156,13,10
14,326800.24233128835,818471.6487730062,14,10
0,669604.7718309859,862576.2957746478,0,11
1,631023.3759398496,399098.8984962406,1,11
2,139395.22898550724,558143.9420289855,2,11
3,364086.70967741933,366272.12903225806,3,11
4,823421.2507836991,731145.2727272727,4,11
5,858947.9713467049,546259.659025788,5,11
6,337264.7629179331,562123.3799392097,6,11
7,417056.14934114204,168006.63689604684,7,11
8,569593.6233766234,397614.12987012987,8,11
9,802534.0063897764,320892.93290734827,9,11
10,852058.4525993884,157685.52293577982,10,11
11,606574.9562289562,574455.1683501684,11,11
12,403978.22569444444,411944.15972222225,12,11
13,168521.44082840238,345622.46153846156,13,11
14,326800.24233128835,818471.6487730062,14,11
0,669604.7718309859,862576.2957746478,0,12
1,631761.1230769231,398747.98076923075,1,12
2,139395.22898550724,558143.9420289855,2,12
3,364058.171875,367539.859375,3,12
4,823421.2507836991,731145.2727272727,4,12
5,858947.9713467049,546259.659025788,5,12
6,337264.7629179331,562123.3799392097,6,12
7,417056.14934114204,168006.63689604684,7,12
8,571723.313253012,398820.7228915663,8,12
9,802534.0063897764,320892.93290734827,9,12
10,852058.4525993884,157685.52293577982,10,12
11,606574.9562289562,574455.1683501684,11,12
12,404263.5734265734,411979.8566433566,12,12
13,168521.44082840238,345622.46153846156,13,12
14,326800.24233128835,818471.6487730062,14,12
0,669604.7718309859,862576.2957746478,0,13
1,632482.5354330709,398424.6062992126,1,13
2,139395.22898550724,558143.9420289855,2,13
3,365615.2089552239,371317.77611940296,3,13
4,823421.2507836991,731145.2727272727,4,13
5,858947.9713467049,546259.659025788,5,13
6,337264.7629179331,562123.3799392097,6,13
7,416876.0438596491,168114.634502924,7,13
8,574683.6136363636,399501.8068181818,8,13
9,802534.0063897764,320892.93290734827,9,13
10,852058.4525993884,157685.52293577982,10,13
11,606574.9562289562,574455.1683501684,11,13
12,405007.8692579505,412188.0141342756,12,13
13,168521.44082840238,345622.46153846156,13,13
14,326800.24233128835,818471.6487730062,14,13
0,669604.7718309859,862576.2957746478,0,14
1,632951.96,398015.26,1,14
2,139395.22898550724,558143.9420289855,2,14
3,366058.48,374874.84,3,14
4,823421.2507836991,731145.2727272727,4,14
5,858947.9713467049,546259.659025788,5,14
6,337264.7629179331,562123.3799392097,6,14
7,416876.0438596491,168114.634502924,7,14
8,575921.0,400567.32608695654,8,14
9,802534.0063897764,320892.93290734827,9,14
10,852058.4525993884,157685.52293577982,10,14
11,606574.9562289562,574455.1683501684,11,14
12,406032.94545454544,412406.85818181816,12,14
13,168521.44082840238,345622.46153846156,13,14
14,326800.24233128835,818471.6487730062,14,14
0,669604.7718309859,862576.2957746478,0,15
1,633368.4024390244,396646.98780487804,1,15
2,139395.22898550724,558143.9420289855,2,15
3,366668.21428571426,378325.9880952381,3,15
4,823421.2507836991,731145.2727272727,4,15
5,858947.9713467049,546259.659025788,5,15
6,337264.7629179331,562123.3799392097,6,15
7,416876.0438596491,168114.634502924,7,15
8,578121.5157894737,403644.22105263156,8,15
9,802534.0063897764,320892.93290734827,9,15
10,852058.4525993884,157685.52293577982,10,15
11,606574.9562289562,574455.1683501684,11,15
12,407512.6104868914,412669.53183520597,12,15
13,168521.44082840238,345622.46153846156,13,15
14,326800.24233128835,818471.6487730062,14,15
0,669604.7718309859,862576.2957746478,0,16
1,634446.1440677966,395026.8093220339,1,16
2,139395.22898550724,558143.9420289855,2,16
3,367163.46153846156,380750.5164835165,3,16
4,823421.2507836991,731145.2727272727,4,16
5,858947.9713467049,546259.659025788,5,16
6,337264.7629179331,562123.3799392097,6,16
7,416876.0438596491,168114.634502924,7,16
8,580960.7714285714,406619.3619047619,8,16
9,802534.0063897764,320892.93290734827,9,16
10,852058.4525993884,157685.52293577982,10,16
11,606574.9562289562,574455.1683501684,11,16
12,408438.93076923076,412745.5807692308,12,16
13,168521.44082840238,345622.46153846156,13,16
14,326800.24233128835,818471.6487730062,14,16
0,669604.7718309859,862576.2957746478,0,17
1,634738.0129310344,393817.6379310345,1,17
2,139395.22898550724,558143.9420289855,2,17
3,367316.1030927835,383031.03092783503,3,17
4,823421.2507836991,731145.2727272727,4,17
5,858947.9713467049,546259.659025788,5,17
6,337264.7629179331,562123.3799392097,6,17
7,416876.0438596491,168114.634502924,7,17
8,582302.3119266055,408767.59633027524,8,17
9,802534.0063897764,320892.93290734827,9,17
10,852058.4525993884,157685.52293577982,10,17
11,606574.9562289562,574455.1683501684,11,17
12,409355.64960629924,412630.46456692915,12,17
13,168521.44082840238,345622.46153846156,13,17
14,326800.24233128835,818471.6487730062,14,17
0,669604.7718309859,862576.2957746478,0,18
1,635071.7105263158,393195.1228070175,1,18
2,139395.22898550724,558143.9420289855,2,18
3,367856.4411764706,384427.54901960783,3,18
4,823421.2507836991,731145.2727272727,4,18
5,858947.9713467049,546259.659025788,5,18
6,337264.7629179331,562123.3799392097,6,18
7,416876.0438596491,168114.634502924,7,18
8,583485.1415929204,409494.4424778761,8,18
9,802534.0063897764,320892.93290734827,9,18
10,852058.4525993884,157685.52293577982,10,18
11,606574.9562289562,574455.1683501684,11,18
12,409978.4738955823,412652.7630522088,12,18
13,168521.44082840238,345622.46153846156,13,18
14,326800.24233128835,818471.6487730062,14,18
0,669604.7718309859,862576.2957746478,0,19
1,635156.0176211454,393048.2334801762,1,19
2,139395.22898550724,558143.9420289855,2,19
3,368082.10476190475,385377.3142857143,3,19
4,823421.2507836991,731145.2727272727,4,19
5,858947.9713467049,546259.659025788,5,19
6,337264.7629179331,562123.3799392097,6,19
7,416876.0438596491,168114.634502924,7,19
8,583769.7807017544,409643.9561403509,8,19
9,802534.0063897764,320892.93290734827,9,19
10,852058.4525993884,157685.52293577982,10,19
11,606574.9562289562,574455.1683501684,11,19
12,410395.837398374,412591.5853658537,12,19
13,168521.44082840238,345622.46153846156,13,19
14,326800.24233128835,818471.6487730062,14,19
0,669604.7718309859,862576.2957746478,0,20
1,635139.1592920354,392634.16371681413,1,20
2,139395.22898550724,558143.9420289855,2,20
3,368225.97196261684,386006.8598130841,3,20
4,823421.2507836991,731145.2727272727,4,20
5,858947.9713467049,546259.659025788,5,20
6,337264.7629179331,562123.3799392097,6,20
7,416876.0438596491,168114.634502924,7,20
8,583769.7807017544,409643.9561403509,8,20
9,802534.0063897764,320892.93290734827,9,20
10,852058.4525993884,157685.52293577982,10,20
11,606683.6510067114,574160.4463087248,11,20
12,410679.58196721313,412538.58196721313,12,20
13,168521.44082840238,345622.46153846156,13,20
14,326800.24233128835,818471.6487730062,14,20
0,669604.7718309859,862576.2957746478,0,21
1,635243.8711111111,392567.33777777775,1,21
2,139395.22898550724,558143.9420289855,2,21
3,368309.2037037037,386307.06481481483,3,21
4,823421.2507836991,731145.2727272727,4,21
5,858947.9713467049,546259.659025788,5,21
6,337264.7629179331,562123.3799392097,6,21
7,416876.0438596491,168114.634502924,7,21
8,584011.6,409626.7913043478,8,21
9,802534.0063897764,320892.93290734827,9,21
10,852058.4525993884,157685.52293577982,10,21
11,606683.6510067114,574160.4463087248,11,21
12,410817.2962962963,412514.34156378603,12,21
13,168521.44082840238,345622.46153846156,13,21
14,326800.24233128835,818471.6487730062,14,21
0,669604.7718309859,862576.2957746478,0,22
1,635243.8711111111,392567.33777777775,1,22
2,139395.22898550724,558143.9420289855,2,22
3,368589.84545454546,386712.5090909091,3,22
4,823421.2507836991,731145.2727272727,4,22
5,858947.9713467049,546259.659025788,5,22
6,337264.7629179331,562123.3799392097,6,22
7,416876.0438596491,168114.634502924,7,22
8,584011.6,409626.7913043478,8,22
9,802534.0063897764,320892.93290734827,9,22
10,852058.4525993884,157685.52293577982,10,22
11,606683.6510067114,574160.4463087248,11,22
12,411041.96680497925,412546.77178423235,12,22
13,168521.44082840238,345622.46153846156,13,22
14,326800.24233128835,818471.6487730062,14,22
0,669604.7718309859,862576.2957746478,0,23
1,635243.8711111111,392567.33777777775,1,23
2,139395.22898550724,558143.9420289855,2,23
3,368721.4414414414,386921.12612612615,3,23
4,823421.2507836991,731145.2727272727,4,23
5,858947.9713467049,546259.659025788,5,23
6,337264.7629179331,562123.3799392097,6,23
7,416876.0438596491,168114.634502924,7,23
8,584011.6,409626.7913043478,8,23
9,802534.0063897764,320892.93290734827,9,23
10,852058.4525993884,157685.52293577982,10,23
11,606683.6510067114,574160.4463087248,11,23
12,411157.9875,412557.92916666664,12,23
13,168521.44082840238,345622.46153846156,13,23
14,326800.24233128835,818471.6487730062,14,23
0,669604.7718309859,862576.2957746478,0,24
1,635243.8711111111,392567.33777777775,1,24
2,139395.22898550724,558143.9420289855,2,24
3,368886.1160714286,387073.85714285716,3,24
4,823421.2507836991,731145.2727272727,4,24
5,858947.9713467049,546259.659025788,5,24
6,337264.7629179331,562123.3799392097,6,24
7,416876.0438596491,168114.634502924,7,24
8,584011.6,409626.7913043478,8,24
9,802534.0063897764,320892.93290734827,9,24
10,852058.4525993884,157685.52293577982,10,24
11,606683.6510067114,574160.4463087248,11,24
12,411258.3765690377,412593.6234309623,12,24
13,168521.44082840238,345622.46153846156,13,24
14,326800.24233128835,818471.6487730062,14,24
0,669604.7718309859,862576.2957746478,0,25
1,635243.8711111111,392567.33777777775,1,25
2,139395.22898550724,558143.9420289855,2,25
3,368886.1160714286,387073.85714285716,3,25
4,823421.2507836991,731145.2727272727,4,25
5,858947.9713467049,546259.659025788,5,25
6,337264.7629179331,562123.3799392097,6,25
7,416876.0438596491,168114.634502924,7,25
8,584011.6,409626.7913043478,8,25
9,802534.0063897764,320892.93290734827,9,25
10,852058.4525993884,157685.52293577982,10,25
11,606683.6510067114,574160.4463087248,11,25
12,411258.3765690377,412593.6234309623,12,25
13,168521.44082840238,345622.46153846156,13,25
14,326800.24233128835,818471.6487730062,14,25
